HOLDINGS AND UTILIZED AGRICULTURAL AREA BY TYPE AND ,,,,,,,,
"HOLDER´S DISTRICT OF RESIDENCE, 2013",,,,,,,,
DISTRICT,TOTAL,TOTAL,AGRICULTURAL AND LIVESTOCK,AGRICULTURAL AND LIVESTOCK,PURE AGRICULTURAL HOLDING,PURE AGRICULTURAL HOLDING,PURE LIVESTOCK HOLDING,PURE LIVESTOCK HOLDING
,"Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)"
TOTAL,35385,1093323,3708,361134,31403,732170,274,19
LEFKOSIA,12447,353703,877,101206,11512,252494,58,3
AMMOCHOSTOS,2167,84621,389,25409,1737,59208,41,4
LARNAKA,5276,302648,1002,122086,4186,180557,88,5
LEMESOS,9110,149640,701,36649,8365,112989,44,2
PAFOS,6385,202711,739,75784,5603,126922,43,5
,,,,,,,,
(Last Update 30/12/2014),,,,,,,,
"COPYRIGHT © :2014, REPUBLIC OF CYPRUS, STATISTICAL SERVICE",,,,,,,,
