NUMBER OF ANIMALS BY TYPE AND HOLDERS DISTRICT OF RESIDENCE (2013),,,,,,
TYPE OF ANIMAL,TOTAL,LEFKOSIA,AMMOCHOSTOS,LARNAKA,LEMESOS,PAFOS
Horses and Donkeys,568,240,36,45,89,158
Bovine,53273,19765,4232,25793,1938,1546
Sheep,257169,70403,23749,98899,27551,36567
Goats,171405,34220,5111,30400,43180,58494
Pigs,290928,196204,128,78159,15131,1307
Broilers/Laying hens,1699019,899030,95532,557469,56197,90792
Breeding cocks,39992,6980,1714,24016,4344,2938
Rabbits,87019,21758,18761,13038,14921,18541
Beehives,16972,4601,123,4466,3027,4756
Partridges,25219,25049,35,74,36,25
Ostriches,56,7,0,3,28,18
Geese,2692,649,451,903,255,435
Ducks,2750,742,442,647,321,599
Turkeys,4604,2062,542,884,384,733
Other poultry,77324,15111,12725,28748,6589,14152
(Last Update 30/12/2014),,,,,,
COPYRIGHT © :2014 REPUBLIC OF CYPRUS STATISTICAL SERVICE,,,,,,
