;EMPLOYMENT OF HOLDERS, MEMBERS OF THE HOUSEHOLD AND ;;;;;;;;;;
;PERMANENT WORKERS BY GROUPING OF WORKING DAYS ;;;;;;;;;;
;AND HOLDER´S DISTRICT OF RESIDENCE, 2013;;;;;;;;;;
;;;;;;;;;;;
;"DISTRICT AND
GROUPING OF WORKING DAYS";HOLDERS AND MEMBERS OF THE HOUSEHOLD;;;;;PERMANENT EMPLOYEES;;;;
;;"Number of
Holdings";"Number of
Persons";Of which:;;"Number of
working days";"Number of
Holdings";"Number of
Persons";Of which:;;"Number of
working days"
;;;;Males;Females;;;;Males;Females;
;T O T A L;34,916;73,087;44,725;28,362;3,156,259;1,420;4,300;3,318;982;1,126,435
;0 - 74                    ;30,419;61,143;35,776;25,367;1,151,163;1,420;285;188;97;9,806
;75 - 149                  ;5,408;6,494;4,722;1,772;652,931;1,347;258;179;79;28,013
;150 - 224                 ;2,140;2,480;1,837;643;432,659;1,262;541;375;166;103,336
;225 - 259                 ;654;732;555;177;174,478;1,131;474;377;97;114,814
;260 +                      ;1,850;2,239;1,835;404;745,028;1,005;2,742;2,199;543;870,466
;;;;;;;;;;;
;LEFKOSIA;12,269;25,297;15,257;10,040;782,803;379;1,252;1,065;187;319,400
;0 - 74                    ;11,293;22,841;13,356;9,485;408,771;379;130;89;41;4,276
;75 - 149                  ;1,228;1,476;1,106;370;144,886;344;43;27;16;4,342
;150 - 224                 ;443;495;372;123;84,959;329;82;64;18;16,153
;225 - 259                 ;119;131;103;28;31,416;303;270;230;40;65,277
;260 +                      ;308;353;320;33;112,771;248;727;655;72;229,352
;;;;;;;;;;;
;AMMOCHOSTOS;2,125;4,431;2,868;1,563;312,479;235;746;530;216;191,469
;0 - 74                    ;1,605;3,179;1,945;1,234;60,734;235;14;11;3;596
;75 - 149                  ;440;516;371;145;54,580;233;63;46;17;7,227
;150 - 224                 ;222;254;174;80;44,731;212;179;109;70;34,935
;225 - 259                 ;66;72;49;23;17,135;179;22;12;10;5,446
;260 +                      ;338;409;329;80;135,299;175;468;352;116;143,265
;;;;;;;;;;;
;LARNAKA;5,164;11,910;7,412;4,498;600,873;379;1,177;904;273;322,390
;0 - 74                    ;4,342;9,626;5,611;4,015;152,047;379;65;41;24;2,108
;75 - 149                  ;857;999;726;273;102,685;367;57;34;23;6,661
;150 - 224                 ;410;459;362;97;81,872;352;154;111;43;29,292
;225 - 259                 ;142;150;120;30;35,055;316;38;31;7;9,164
;260 +                      ;568;676;593;83;229,214;300;863;687;176;275,165
;;;;;;;;;;;
;LEMESOS;9,027;19,284;11,689;7,595;832,683;233;619;483;136;157,597
;0 - 74                    ;7,873;15,920;9,259;6,661;330,538;233;39;24;15;1,486
;75 - 149                  ;1,716;2,072;1,430;642;207,075;223;72;53;19;7,289
;150 - 224                 ;639;722;550;172;124,978;199;78;55;23;14,705
;225 - 259                 ;195;215;171;44;51,961;177;71;62;9;17,371
;260 +                      ;298;355;279;76;118,131;147;359;289;70;116,746
;;;;;;;;;;;
;PAFOS;6,331;12,166;7,499;4,667;627,421;194;506;336;170;135,579
;0 - 74                    ;5,306;9,577;5,605;3,972;199,073;194;37;23;14;1,340
;75 - 149                  ;1,167;1,430;1,089;341;143,705;180;23;19;4;2,494
;150 - 224                 ;426;550;379;171;96,119;170;48;36;12;8,251
;225 - 259                 ;132;164;112;52;38,911;156;73;42;31;17,556
;260 +                      ;338;445;314;131;149,613;135;325;216;109;105,938
; ;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;(Last Update 30/12/2014);;;;;;;;;;
;;;;;;;;;;;
;COPYRIGHT © :2014, REPUBLIC OF CYPRUS, STATISTICAL SERVICE;;;;;;;;;;
