OCCUPIED CONVENTIONAL DWELLINGS ENUMERATED OF THE DWELLING  TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED TENURE STATUS AND URBAN/RURAL AREA BY YEAR OF CONSTRUCTION (COMPLETION)  (1.10.2011) ,,,,,,,,,,,,
URBAN/ RURAL AREA,TENURE STATUS,YEAR OF CONSTRUCTION (COMPLETION OF THE DWELLING),TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TOTAL NUMBER OF HOUSEHOLDS,TOTAL NUMBER OF PERSONS
,,,Total,Single house,Semi-detached or duplex,Row houses,Back-yard house,Apartment blocks,Conventional dwellings in partly residential buildings,Other type of building,Total HouseHolds,Total Persons
TOTAL,Total,Total,297.122,129.268,48.743,18.004,6.457,72.072,22.215,363,300.964,832.512
TOTAL,Total,Before 1919,2.306,1.295,256,654,63,16,16,6,2.345,4.765
TOTAL,Total,1919-1945,5.037,3.153,601,946,147,59,106,25,5.18,10.456
TOTAL,Total,1946-1960,14.501,8.654,2.443,1.066,860,830,636,12,14.846,31.072
TOTAL,Total,1961-1970,19.036,9.51,4.291,565,924,2.279,1.452,15,19.441,44.445
TOTAL,Total,1971-1980,49.431,19.795,8.526,4.643,1.178,10.35,4.925,14,50.314,127.015
TOTAL,Total,1981-1990,64.393,24.321,13.091,3.463,1.152,15.366,6.928,72,65.308,195.165
TOTAL,Total,1991-2000,51.861,24.465,9.898,2.387,801,10.78,3.482,48,52.344,172.497
TOTAL,Total,2001-2005,33.98,16.671,4.287,1.757,425,9.267,1.474,99,34.162,101.163
TOTAL,Total,2006,10.456,4.276,1.016,670,113,3.953,421,7,10.54,28.629
TOTAL,Total,2007,9.686,3.872,938,355,137,3.878,496,10,9.731,25.285
TOTAL,Total,2008,10.794,3.717,854,454,170,4.962,625,12,10.854,27.544
TOTAL,Total,2009,9.83,3.469,869,365,142,4.414,557,14,9.881,24.485
TOTAL,Total,2010,6.689,2.661,619,313,129,2.572,384,11,6.727,16.694
TOTAL,Total,2011,4.095,1.898,381,183,56,1.41,151,16,4.113,10.602
TOTAL,Total,Not stated,5.027,1.511,673,183,160,1.936,562,2,5.178,12.695
TOTAL,Owner occupied,Total,204.941,104.421,38.247,10.784,2.147,39.192,10.079,71,205.165,612.364
TOTAL,Owner occupied,Before 1919,1.446,888,158,348,29,10,11,2,1.448,3.081
TOTAL,Owner occupied,1919-1945,2.94,2.059,324,437,58,19,39,4,2.946,5.858
TOTAL,Owner occupied,1946-1960,8.787,6.021,1.493,494,281,351,145,2,8.797,18.172
TOTAL,Owner occupied,1961-1970,12.66,7.181,3.058,340,330,1.205,546,0,12.68,29.051
TOTAL,Owner occupied,1971-1980,32.403,14.371,6.486,3.059,495,5.816,2.17,6,32.44,85.384
TOTAL,Owner occupied,1981-1990,44.784,19.721,10.66,1.777,409,8.784,3.431,2,44.851,145.127
TOTAL,Owner occupied,1991-2000,40.565,21.84,8.5,1.7,240,6.399,1.877,9,40.611,143.695
TOTAL,Owner occupied,2001-2005,25.252,14.723,3.577,1.184,113,4.965,668,22,25.272,81.217
TOTAL,Owner occupied,2006,7.046,3.66,818,312,37,2.047,170,2,7.05,20.929
TOTAL,Owner occupied,2007,6.673,3.367,772,234,25,2.062,208,5,6.676,18.951
TOTAL,Owner occupied,2008,7.174,3.241,693,308,44,2.628,256,4,7.178,19.952
TOTAL,Owner occupied,2009,6.532,2.967,700,214,30,2.371,246,4,6.534,17.503
TOTAL,Owner occupied,2010,4.639,2.29,506,205,25,1.451,159,3,4.639,12.359
TOTAL,Owner occupied,2011,2.939,1.649,314,132,14,764,60,6,2.939,8.067
TOTAL,Owner occupied,Not stated,1.101,443,188,40,17,320,93,0,1.104,3.018
TOTAL,Rented,Total,55.768,8.649,5.97,2.626,1.534,26.519,10.37,100,58.655,136.093
TOTAL,Rented,Before 1919,252,131,24,78,11,4,4,0,275,599
TOTAL,Rented,1919-1945,839,425,115,173,45,35,42,4,964,2.145
TOTAL,Rented,1946-1960,2.779,984,432,200,342,363,453,5,3.073,7.117
TOTAL,Rented,1961-1970,3.751,949,715,86,332,858,804,7,4.089,9.933
TOTAL,Rented,1971-1980,8.808,1.294,1.267,302,284,3.274,2.383,4,9.528,23.104
TOTAL,Rented,1981-1990,11.353,1.168,1.43,445,220,5.178,2.908,4,12.03,29.163
TOTAL,Rented,1991-2000,7.052,903,805,358,93,3.569,1.319,5,7.355,17.645
TOTAL,Rented,2001-2005,6.431,1.084,424,373,52,3.743,699,56,6.535,14.676
TOTAL,Rented,2006,2.483,358,121,154,8,1.623,218,1,2.528,5.502
TOTAL,Rented,2007,2.398,298,107,91,13,1.624,262,3,2.428,5.012
TOTAL,Rented,2008,2.907,261,94,95,25,2.086,345,1,2.936,6.056
TOTAL,Rented,2009,2.459,219,93,104,15,1.737,288,3,2.499,5.182
TOTAL,Rented,2010,1.406,125,55,50,15,975,186,0,1.435,2.916
TOTAL,Rented,2011,680,71,26,24,7,471,74,7,695,1.409
TOTAL,Rented,Not stated,2.17,379,262,93,72,979,385,0,2.285,5.634
TOTAL,Free ,Total,16.305,5.283,3.241,1.082,2.521,2.868,1.207,103,16.987,31.497
TOTAL,Free ,Before 1919,472,209,65,173,21,2,0,2,484,798
TOTAL,Free ,1919-1945,728,400,108,167,40,5,5,3,740,1.257
TOTAL,Free ,1946-1960,1.832,989,371,147,213,90,22,0,1.873,3.155
TOTAL,Free ,1961-1970,1.664,728,385,59,242,167,80,3,1.709,3.082
TOTAL,Free ,1971-1980,2.612,770,554,133,375,524,254,2,2.72,5.175
TOTAL,Free ,1981-1990,3.051,603,731,138,440,707,421,11,3.205,6.225
TOTAL,Free ,1991-2000,2.296,542,472,89,440,500,220,33,2.426,4.766
TOTAL,Free ,2001-2005,1.307,414,236,61,243,258,75,20,1.365,2.562
TOTAL,Free ,2006,457,153,62,27,63,124,24,4,490,947
TOTAL,Free ,2007,392,99,49,15,94,118,15,2,403,753
TOTAL,Free ,2008,406,96,55,19,96,116,17,7,433,772
TOTAL,Free ,2009,425,121,62,16,88,116,16,6,434,768
TOTAL,Free ,2010,317,71,45,19,77,65,34,6,326,566
TOTAL,Free ,2011,160,37,28,7,34,42,10,2,163,275
TOTAL,Free ,Not stated,186,51,18,12,55,34,14,2,216,396
TOTAL,Other tenure status,Total,16.821,10.134,999,3.429,229,1.777,165,88,16.851,45.825
TOTAL,Other tenure status,Before 1919,134,66,9,55,1,0,1,2,136,285
TOTAL,Other tenure status,1919-1945,520,264,52,167,4,0,19,14,520,1.181
TOTAL,Other tenure status,1946-1960,1.07,649,140,222,21,20,13,5,1.07,2.575
TOTAL,Other tenure status,1961-1970,924,641,128,78,20,35,17,5,925,2.305
TOTAL,Other tenure status,1971-1980,5.398,3.34,197,1.146,21,651,41,2,5.412,12.915
TOTAL,Other tenure status,1981-1990,4.789,2.793,253,1.09,81,481,36,55,4.797,13.859
TOTAL,Other tenure status,1991-2000,1.698,1.133,105,231,28,172,28,1,1.701,5.876
TOTAL,Other tenure status,2001-2005,672,407,42,134,17,70,1,1,672,2.156
TOTAL,Other tenure status,2006,357,100,13,177,5,62,0,0,358,1.072
TOTAL,Other tenure status,2007,129,96,8,12,5,7,1,0,130,406
TOTAL,Other tenure status,2008,175,109,8,27,4,26,1,0,175,548
TOTAL,Other tenure status,2009,307,146,13,29,9,109,0,1,307,847
TOTAL,Other tenure status,2010,270,172,12,39,12,30,4,1,270,777
TOTAL,Other tenure status,2011,288,140,12,18,1,113,3,1,288,802
TOTAL,Other tenure status,Not stated,90,78,7,4,0,1,0,0,90,221
TOTAL,Not stated,Total,3.287,781,286,83,26,1.716,394,1,3.306,6.733
TOTAL,Not stated,Before 1919,2,1,0,0,1,0,0,0,2,2
TOTAL,Not stated,1919-1945,10,5,2,2,0,0,1,0,10,15
TOTAL,Not stated,1946-1960,33,11,7,3,3,6,3,0,33,53
TOTAL,Not stated,1961-1970,37,11,5,2,0,14,5,0,38,74
TOTAL,Not stated,1971-1980,210,20,22,3,3,85,77,0,214,437
TOTAL,Not stated,1981-1990,416,36,17,13,2,216,132,0,425,791
TOTAL,Not stated,1991-2000,250,47,16,9,0,140,38,0,251,515
TOTAL,Not stated,2001-2005,318,43,8,5,0,231,31,0,318,552
TOTAL,Not stated,2006,113,5,2,0,0,97,9,0,114,179
TOTAL,Not stated,2007,94,12,2,3,0,67,10,0,94,163
TOTAL,Not stated,2008,132,10,4,5,1,106,6,0,132,216
TOTAL,Not stated,2009,107,16,1,2,0,81,7,0,107,185
TOTAL,Not stated,2010,57,3,1,0,0,51,1,1,57,76
