;EMISSIONS OF AIR POLLUTANTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Quantities in thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Source;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;SULPHUR DIOXIDE (SO2);32,67;40,76;42,91;45,14;48,56;50,95;49,99;46,91;47,21;48,78;41,82;38,09;31,61;29,56;22,80;18,09;22,17;20,96;16,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;31,33;39,09;41,17;43,29;46,57;48,86;47,93;44,98;45,28;46,80;40,16;37,94;31,55;29,50;22,76;18,05;22,12;20,92;16,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;22,21;27,20;28,80;30,47;33,26;35,18;33,46;30,81;31,40;33,62;31,72;34,07;27,52;25,51;20,52;16,07;20,34;19,37;14,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;2,76;3,04;3,11;3,14;3,13;3,17;3,21;3,22;3,26;3,26;3,08;3,06;3,09;3,04;1,62;1,47;1,32;1,06;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;4,49;6,22;6,50;6,79;7,13;7,36;7,50;7,29;7,05;6,66;2,36;0,07;0,07;0,07;0,07;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;0,21;0,26;0,27;0,28;0,30;0,31;0,41;0,39;0,40;0,32;0,27;0,15;0,27;0,37;0,29;0,26;0,24;0,25;0,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;1,67;2,37;2,49;2,61;2,76;2,86;3,36;3,26;3,17;2,94;2,74;0,59;0,59;0,51;0,26;0,23;0,20;0,22;0,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Fugitive Emissions from Fuels;1,21;1,51;1,58;1,68;1,81;1,90;1,86;1,75;1,76;1,80;1,50;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;0,09;0,11;0,12;0,12;0,13;0,14;0,13;0,13;0,13;0,13;0,11;0,11;0,03;0,03;0,02;0,02;0,02;0,02;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;0,03;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
