Year,Total Gasoline,"Premium 98 RON","Unleaded 95+98 RON","Regular 92 RON",Kerosene,"Gasoil/Gasoil Low Sulphur/for Agriculture and Marine Use",Light Fuel Oil,Total Heavy Oil,"Electricity Authority of Cyprus ","Cement  Industry",Marine Use,"Liquefied Petroleum Gases",TOTAL,
,,,,,,,,,,,,,,
1960,56432,24732,0,31700,22550,59389,19406,78256,65756,12500,0,2151,238184,
1961,56748,26672,0,30076,22750,61191,19331,95756,83756,12000,0,2496,258272,
1962,58736,29136,0,29600,23901,69126,17204,115581,103581,12000,0,3098,287646,
1963,60081,31843,0,28238,24153,79735,23839,114207,101207,13000,0,4475,306490,
1964,55541,31641,0,23900,23305,78044,21661,114914,104914,10000,0,5680,299145,
1965,64130,38454,0,25676,21139,90190,31853,105166,96085,9081,0,8692,321170,
1966,67768,37691,0,30077,18259,91928,30681,154087,138913,15174,0,11532,374255,
1967,72717,45084,0,27633,19587,99434,22797,148663,120700,27963,0,14888,378086,
1968,78978,54185,0,24793,16449,111157,23319,192904,161275,31629,0,16581,439388,
1969,88034,65278,0,22756,15181,117767,45730,196213,164949,31264,0,18913,481838,
1970,97079,75637,0,21442,14036,127075,39798,207518,179607,27911,0,20944,506450,
1971,107558,86565,0,20993,14291,133871,53040,233851,193498,40353,0,24101,566712,
1972,123189,102785,0,20404,13540,143783,60749,269684,233191,36493,0,26650,637595,
1973,137077,117389,0,19688,13046,162529,61112,295710,237797,57913,0,28831,698305,
1974,98039,82053,0,15986,10589,128547,51799,254944,210769,44175,0,24438,568356,
1975,77819,66651,0,11168,9265,107998,44792,269901,198109,71792,0,24733,534508,
1976,80780,71215,0,9565,8802,119538,47272,323691,227497,96194,0,29879,609962,
1977,89287,80540,0,8747,7586,126575,55397,362816,262503,100313,0,30726,672387,
1978,100378,92124,0,8254,7464,139811,57849,390853,263521,127332,0,31314,727669,
1979,103210,94167,0,9043,7572,149385,78766,408513,310502,98011,0,32491,779937,
1980,99579,88725,0,10854,9957,160314,88322,392383,312776,79607,0,34727,785282,
1981,98922,88557,0,10365,7743,158240,71449,413584,325032,88552,0,35228,785166,
1982,104499,94498,0,10001,7613,177438,75407,437413,352996,84417,0,38237,840607,
1983,110678,101159,0,9519,8145,197142,94126,426885,346716,80169,0,39753,876729,
1984,117710,108257,0,9453,7533,209490,81375,364732,336202,28530,0,40610,821450,
1985,123866,114997,0,8869,7442,218310,72947,383024,377774,3959,1291,41909,847498,
1986,130184,121251,0,8933,7758,233133,75711,441828,387034,53794,1000,43020,931634,
1987,140278,131765,0,8513,8940,255552,127003,493135,458140,30898,4097,46144,1071052,
1988,147672,140152,0,7520,10129,267731,112924,543358,447390,93936,2032,49552,1131366,
1989,154646,147970,0,6676,10296,305393,124750,518649,465781,48491,4377,47012,1160746,
1990,162699,155662,0,7037,11598,331874,102906,610311,554309,51318,4684,48829,1268217,
1991,160969,152651,0,8318,12054,330943,89503,625389,566006,52195,7188,48911,1267769,
1992,172458,162189,2990,7279,16557,399215,91898,705493,661802,37453,6238,55320,1440941,
1993,174142,162481,5507,6154,16423,405713,87667,796930,714682,74982,7266,51031,1531906,
1994,178242,164813,7784,5645,15308,416191,93993,742892,713569,17574,11749,50219,1496845,
1995,183124,165630,12106,5388,17016,460445,103330,758773,696472,58345,3956,51242,1573930,
1996,186091,161638,19666,4787,17544,489147,114537,685724,652389,32428,907,51030,1544073,
1997,190852,156409,29958,4485,19878,515305,116716,784145,763559,20586,0,51583,1678479,
1998,195941,148225,43836,3880,20968,561452,109700,808536,788694,19842,0,49861,1746458,
1999,202679,140975,58750,2954,19816,592279,125185,969388,931768,0,37620,48740,1958087,
2000,206449,128146,76962,1341,24003,612955,134643,953684,892789,1700,59195,52771,1984505,
2001,218793,122803,95500,490,23755,595542,126127,947674,874048,903,72723,53210,1965101,
2002,228971,112097,116570,304,28548,602680,123818,992818,947469,0,45349,53879,2030714,
2003,259505,104508,154997,0,30359,583599,115061,1062829,1028782,0,34047,56833,2108186,
2004,281779,33006,248773,0,23495,560295,81536,1015890,995145,6819,13926,55757,2018752,
2005,302525,0,302525,0,15976,629976,65948,1374863,1144575,15117,215171,53185,2442473,
2006,323025,0,323025,0,15739,609363,49739,1349228,1151829,15965,181434,54312,2401406,
2007,351852,0,351852,0,15889,618584,40215,1349624,1158564,23117,167943,55235,2431399,
2008,372676,0,372676,0,13790,628016,35349,1394537,1208944,24729,160864,53194,2497562,
2009,383468,0,383468,0,18544,654729,30817,1289800,1130077,14903,144820,55440,2432798,
2010,390302,0,390302,0,13878,710141,30211,1270810,1122090,14723,133997,52658,2468000,
2011,384756,0,384756,0,16491,646880,27571,1109931,964030,4460,141441,58618,2244247,
2012,372113,0,372113,0,16970,717021,21003,1059676,929295,2324,128057,56904,2243687,
2013,349110,0,349110,0,11640,694989,17830,805342,646153,2140,157049,51364,1930275,
