EU SOCIAL PROTECTION EXPENDITURE ,,,,,,,,,,,,
Share of social protection expenditure in GDP, %,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
,EU-15,EU-15,EU-15,EU-15,EU-15,EU-25,EU-25,EU-27,EU-27,EU-27,EU-27,EU-27
European Union,26.8,26.9,27.2,27.6,27.5,27.1,26.8,26.1,26.8,29.6,29.3,29.0
Belgium,25.4,26.3,26.7,27.4,27.4,27.3,27.0,26.9,28.3,30.6,30.1,30.4
Bulgaria,na,na,na,na,na,15.1,14.2,14.1,15.5,17.2,18.1,17.7
Czech Republic,18.8,18.7,19.4,19.4,18.6,18.4,18.0,18.0,18.0,20.3,20.2,20.4
Denmark,28.9,29.2,29.7,30.9,30.7,30.2,29.2,30.7,30.7,34.7,34.3,34.3
Germany,29.7,29.7,30.4,30.8,30.1,30.1,29.0,27.8,28.0,31.5,30.6,29.4
Estonia,13.9,13.0,12.7,12.5,13.0,12.6,12.1,12.1,14.9,19.0,18.0,16.1
Ireland,13.3,14.3,16.7,17.2,17.4,17.5,17.8,18.3,21.5,26.5,28.5,29.6
Greece,23.5,24.3,24.0,23.5,23.6,24.9,24.8,24.8,26.2,28.0,29.1,30.2
Spain,20.0,19.7,20.0,20.3,20.3,20.6,20.5,20.8,22.2,25.4,25.8,26.1
France,29.5,29.6,30.5,31.0,31.4,31.5,31.2,30.9,31.3,33.6,33.8,33.6
Italy,24.5,24.8,25.2,25.7,25.9,26.3,26.6,26.6,27.7,29.9,29.9,29.7
Cyprus,14.8,14.9,16.3,18.4,18.1,18.4,18.5,18.2,19.5,21.1,22.1,22.8
Latvia,15.7,14.7,14.3,14.0,13.2,12.8,12.7,11.3,12.7,16.9,17.8,15.1
Lithuania,15.7,14.7,14.0,13.5,13.4,13.2,13.3,14.4,16.1,21.2,19.1,17.0
Luxembourg,19.6,20.9,21.6,22.1,22.3,21.7,20.4,19.3,21.4,24.3,23.1,22.5
Hungary,19.9,19.5,20.4,21.3,20.8,21.9,22.5,22.7,22.9,24.3,23.1,23.0
Malta,16.3,17.0,17.2,17.4,18.0,17.8,17.7,17.7,18.1,19.6,19.4,18.9
Netherlands,26.4,26.5,27.6,28.3,28.3,27.9,28.8,28.3,28.5,31.6,32.1,32.3
Austria,28.3,28.6,29.0,29.4,29.1,28.8,28.3,27.8,28.5,30.7,30.6,29.5
Poland,19.7,21.0,21.1,21.0,20.1,19.7,19.4,18.1,18.6,19.2,19.2,19.2
Portugal,20.9,21.9,22.8,23.2,23.8,24.5,24.5,23.9,24.3,26.8,26.8,26.5
Romania,13.0,12.8,13.6,13.1,12.8,13.4,12.8,13.6,14.3,17.1,17.6,16.3
Slovenia,24.1,24.4,24.3,23.6,23.3,23.0,22.7,21.3,21.4,24.2,25.0,25.0
Slovakia,19.4,18.9,19.1,18.4,17.2,16.5,16.4,16.1,16.1,18.8,18.7,18.2
Finland,25.1,25.0,25.7,26.6,26.7,26.7,26.4,25.4,26.2,30.4,30.6,30.0
Sweden,29.9,30.4,31.3,32.2,31.6,31.1,30.3,29.2,29.5,32.0,30.4,29.6
United Kingdom,26.1,26.6,25.6,25.5,25.7,25.8,25.6,24.7,25.8,28.6,27.4,27.3
