Growth rates of GDP at constant prices,,,,
,,GDP compared to the same quarter of the previous year (percentage change),GDP (seasonal) compared to the previous quarter (Percentage change) ,GDP (seasonal) compared to the same quarter of the previous year (Percentage change) 
2010,Q1,-0.1,1.6,-0.5
2010,Q2,1.1,0.2,1.2
2010,Q3,2.1,0.6,2.3
2010,Q4,2.4,0.2,2.5
2011,Q1,1.3,0.3,1.3
2011,Q2,1.3,0.1,1.2
2011,Q3,-0.4,-1.1,-0.5
2011,Q4,-1.1,-0.2,-0.9
2012,Q1,-1.3,-0.1,-1.3
2012,Q2,-2.5,-0.9,-2.3
2012,Q3,-2.2,-1.1,-2.3
2012,Q4,-3.6,-1.5,-3.6
2013,Q1,-5.4,-1.7,-5.1
2013,Q2,-6.1,-1.8,-6.0
2013,Q3,-5.0,-0.7,-5.6
2013,Q4,-4.9,-0.6,-4.7
2014,Q1,-3.6,-0.5,-3.6
2014,Q2,-1.9,-0.4,-2.2
2014,Q3,-1.7,-0.3,-1.8
2014,Q4,,,
,,,,
"The GDP growth rate in real terms during the third quarter of 2014 is negative and estimated at -1,7% over the corresponding quarter of 2013. Based on seasonally and working day adjusted data, GDP growth rate in real terms is estimated at -1,8%.",,,,
"Positive growth rates were recorded by the sectors of Trade, Hotels and Restaurants as well as the Legal and Accounting activities. Νegative growth rates were recorded by the secondary sector of the economy (Manufacturing, Construction), as well as in the sectors of Banking, Transport and other Services. ",,,,
Note: The released data was compiled according to the European System of Accounts (ESA) 2010.,,,,
(Last Updated 09/12/2014),,,,
,,,,
"COPYRIGHT © :2014, REPUBLIC OF CYPRUS, STATISTICAL SERVICE",,,,
