"HARMONIZED INDEX OF CONSUMER PRICES, 2014",,,,,,,,,,,,,
% CHANGE COMPARED WITH CORRESPONDING MONTH OF 2013,,,,,,,,,,,,,
Categories of Goods and Services,,Percentage change (%),,,,,,,,,,,
,, Jan. 2014/Jan. 2013, Feb. 2014/Feb. 2013 , Mar. 2014/Mar. 2013 , Apr. 2014/Apr. 2013  , May 2014/May 2013, June 2014/June 2013 , July 2014/July 2013, Aug. 2014/Aug. 2013 , Sep. 2014/Sep. 2013, Oct. 2014/Oct. 2013 , Nov. 2014/Nov. 2013 , Dec. 2014/Dec. 2013
,General Index,-1.6,-1.3,-0.9,-0.4,-0.1,0.0,0.9,0.8,0.0,0.3,0.0,-1.0
1,Food and non-alcoholic beverages,-3.4,-1.8,-2.0,-1.3,-0.9,-0.6,-0.3,-0.7,-0.3,-1.2,2.3,-2.1
2,Alcoholic beverages and tobacco,0.2,1.0,3.1,2.5,2.8,0.1,1.7,2.9,1.0,2.4,2.9,3.4
3,Clothing and footwear,0.0,2.1,5.5,6.1,-0.2,0.7,3.6,4.2,2.0,3.9,2.4,1.0
4,"Housing, water, electricity and gas",-8.3,-7.9,-8.4,-6.6,-5.5,-5.1,-3.8,-2.8,-2.6,-2.5,-2.5,-3.8
5,"Furnishings, household equipment and supplies",-2.6,-2.5,-2.0,-2.5,-3.2,-2.5,-2.5,-0.8,-1.8,-0.9,-0.3,-0.1
6,Health,-3.4,-2.8,-2.8,-1.9,-0.2,0.0,0.2,-0.8,-0.4,-0.4,-0.4,-0.1
7,Transport,0.4,0.6,1.7,2.6,4.4,3.0,4.4,1.4,-0.2,1.8,-0.4,-2.8
8,Communication,0.9,0.7,0.7,0.8,0.7,2.4,1.8,1.5,2.0,2.0,1.9,1.8
9,Recreation and culture,-1.2,-1.3,-1.4,-1.4,-1.3,-1.3,-1.4,-0.7,-1.6,-1.5,-1.8,-2.0
10,Education,-4.1,-4.1,-4.1,-4.0,-3.9,-3.9,-3.9,-3.9,-3.2,-2.0,-1.6,-1.6
11,Restaurants and hotels,1.6,0.9,1.0,1.0,2.1,3.2,4.0,4.4,2.7,1.8,-0.8,0.3
12,Miscellaneous goods and services,-0.3,-1.0,-1.1,-0.8,-1.2,-1.1,-0.9,-1.1,-1.3,-1.1,-1.5,-1.0
(Last Updated 13/01/2015),,,,,,,,,,,,,
,,,,,,,,,,,,,
"COPYRIGHT © :2015, REPUBLIC OF CYPRUS, STATISTICAL SERVICE",,,,,,,,,,,,,
