ARRIVALS  OF  TOURISTS  BY COUNTRY  OF USUAL  RESIDENCE  AND  MONTH,,,,,,,,,,,,
residence,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,
ALL COUNTRIES,40675,45227,77533,180998,293181,342221,381955,373086,316602,251453,81437,56863
EUROPE,34555,39408,68975,168638,277384,321168,351329,341032,295207,234204,72663,46985
E. U. Countries (28),27492,32834,57259,125149,168331,178629,203787,206168,180657,167882,58862,39112
Belgium,679,1003,2044,3018,2579,3073,3597,3134,2588,2482,1007,922
Bulgaria,341,391,471,866,836,1109,1130,808,707,559,430,326
Croatia,79,21,0,0,36,0,58,47,43,78,18,34
Czech Republic,0,151,190,365,1086,2079,1870,938,1668,1778,261,35
Denmark,115,43,60,1694,3623,6235,7769,4351,4296,2171,119,74
Germany,1152,2162,6496,10465,8564,8209,6700,8356,9534,13044,9303,2409
Estonia,0,54,9,235,60,0,31,31,167,1061,10,0
Greece,6421,6254,7038,10374,9083,8584,10127,7472,9382,10417,7534,8263
Spain,205,118,185,252,168,240,288,661,92,299,391,153
France,656,753,1602,3322,3146,1660,3651,4446,2874,3769,1312,1969
Ireland,36,57,93,416,213,500,301,365,427,227,55,178
Italy,1000,912,1575,912,1661,800,876,1998,1152,1440,1215,911
Latvia,71,181,195,464,593,470,180,833,423,885,396,261
Lithuania,177,289,397,1141,1266,817,1375,979,1279,2027,847,828
Luxembourg,0,0,20,280,0,156,178,104,0,0,10,149
Hungary,197,225,326,430,550,1256,2039,1594,1731,1151,394,311
Malta,99,109,168,131,177,413,804,1117,613,133,137,180
Netherlands,89,98,620,2227,2682,2098,3474,2740,3008,3604,1089,482
Austria,236,610,531,1759,2083,2367,3466,3631,3484,3596,1391,504
Poland,1055,1127,1239,1944,2268,3485,4614,4949,4260,1774,1318,1025
Portugal,66,15,15,77,79,70,75,51,44,78,89,34
Romania,1082,918,991,1883,2100,1825,1798,1897,1899,1864,955,942
Slovenia,0,42,33,59,68,68,58,0,125,167,13,19
Slovak Republic,44,100,193,121,342,477,880,830,712,132,46,44
Finland,215,121,207,2765,3694,3767,3837,2757,3239,3095,142,78
Sweden,403,897,2181,6382,15299,17065,17446,16642,16947,10916,1507,976
United Kingdom,13063,16172,30368,73556,106063,111792,127152,135424,109951,101122,28859,17995
Total EFTA,1334,1516,2183,6738,12082,14435,20369,14994,16325,12039,2573,1122
Iceland,0,23,0,0,0,0,0,0,0,0,0,0
Norway,963,1096,1081,3308,8297,9733,11029,7592,7832,3903,1265,640
Switzerland (incl. Liechten.),370,397,1102,3429,3784,4701,9340,7402,8492,8135,1307,482
Total Other European,5728,5056,9531,36750,96970,128102,127171,119870,98224,54282,11227,6750
Russia,4838,4084,8134,32430,88426,117960,116582,110725,90866,49030,8728,4956
Turkey,30,19,0,0,0,0,0,0,0,100,0,0
Belarus,72,95,225,848,1954,2654,2283,1769,2069,1504,546,111
Ukraine,579,626,958,3030,5994,6507,7255,6094,4122,3098,1553,1271
Serbia,110,110,158,345,362,618,865,1023,864,435,184,133
Other Countries ,98,121,54,94,232,361,184,256,301,114,214,277
AFRICA,701,451,447,758,895,1319,1834,1493,1015,1056,420,570
South Africa,240,181,123,135,320,517,1014,582,505,306,100,210
Maghreb Countries,21,11,11,51,0,0,0,41,23,0,30,0
Egypt,379,239,247,408,500,713,736,759,425,750,275,214
Other Africian,60,19,65,163,73,88,83,111,60,0,13,144
AMERICA,1017,988,1300,1549,2521,3479,2815,2067,1339,1132,688,956
Total North America,1017,973,1159,1477,2478,3417,2748,2004,1292,1132,571,895
United States,855,774,945,1104,2009,2866,2386,1740,1073,930,391,770
Canada,162,199,213,372,426,551,361,264,218,202,180,125
Other North America,0,0,0,0,42,0,0,0,0,0,0,0
America,0,14,140,72,42,61,67,62,46,0,117,61
ASIA,4018,4055,6395,9608,10918,14884,24297,27176,17864,14278,7171,7766
Gulf Countries,1027,1153,1414,2251,2413,2943,4467,2715,2500,2024,765,2382
Kuwait,58,92,102,157,111,308,237,210,87,39,14,35
Bahrain,29,63,39,93,135,151,492,341,76,188,0,205
United Arab Emirates,608,747,992,1464,1784,1908,2721,1366,1563,1473,614,1475
Saudi Arabia,115,76,99,200,158,276,487,429,221,134,39,233
Other Gulf,215,172,180,334,223,299,528,366,551,188,96,434
Georgia,0,57,58,56,0,0,69,0,43,0,40,0
Jordan,151,182,298,367,333,555,920,824,430,754,285,328
Iran,0,0,1069,18,182,421,1380,1466,1282,256,14,0
Iraq,0,0,0,49,57,171,332,768,51,192,0,69
Israel,1653,1566,2229,4357,6020,7296,10311,13201,7383,7769,3713,3319
Lebanon,892,825,903,1958,1515,2696,5278,7448,5650,2527,1834,1157
Syria,9,62,0,49,14,0,85,0,0,84,48,27
China (incl. Hong Kong),129,57,103,122,18,220,248,80,296,93,203,259
Japan,34,0,98,115,0,64,40,30,76,27,28,45
South Korea,0,0,0,0,0,77,0,0,0,0,0,0
Other Asia,121,149,218,259,363,437,1163,641,148,546,237,173
OCEANIA,382,324,400,428,1432,1349,1678,1315,1176,750,412,575
Australia,346,303,369,402,1380,1349,1638,1254,1141,695,398,490
New Zealand,36,21,15,26,51,0,40,60,35,55,14,64
Other Oceania,0,0,15,0,0,0,0,0,0,0,0,20
NOT STATED,0,0,14,15,29,19,0,0,0,30,80,9
